Task Name,University,School Year,Course Name,Course Code,Credit,"Group/Individual/Hybrid
",Task Type,Task Weight (%),"Post Date
yyyy/mm/dd","Due Date
yyyy/mm/dd",Due Time,Dependency,"Time Required to Finish 
the Rest of the Work (h)",Difficulty,Current Date (Today),# Days Left,"Uncompleted Task Current Progress
(%)",Uncomplete Task Time Spent (H),"Priority 
(1-5 L-H)"
Assignment 3,University of Toronto,Master,State Estimation,AER1513,1,Individual,Assignment,20,2023/11/23,2023/12/14,9:00am,"yes, relies on Assignment 2",10,2,2023/11/13,32,0,0,3
Final Project,Duke Univeristy,Master,Applied BioStatistics,BIOSTATS702,3,Individual,Project,20,2023/11/13,2023/12/13,9:00am,"yes, relies on previous work",30,4,2023/11/13,28,10,3,2
Final Presentation,Duke Univeristy,Master,Introduction to Statistical Theory and Methods,BIOSTAT 701,3,Group,Presentation,15,2023/10/28,2023/11/15,10:00am,"yes, relies on previous work",5,3,2023/11/13,2,85,20,5
Assignment 1,McMaster Univeristy,5th year, Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/10/3,11:59pm,N/A,10,2,2023/11/13,0,0,0,1
Group Assignment1,McMaster Univeristy,1st year,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10,2023/9/24,2023/10/6,11:59pm,N/A,3,2,2023/11/12,0,0,0,1
Group Assignment2,McMaster Univeristy,1st year,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10,2023/10/13,2023/10/27,11:59pm,N/A,3,3,2023/11/12,0,0,0,1
Group Assignment3,McMaster Univeristy,1st year,Organizational Behaviour,Commerce 1BA3,3,Group,Assignment,10,2023/11/1,2023/11/8,11:59pm,N/A,3,2,2023/11/12,0,0,0,1
Assignment 1,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Assignment,10,2023/10/1,2023/10/6,11:59pm,N/A,10,4,2023/11/13,0,0,0,1
Assignment 2,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Individual,Assignment,10,2023/10/20,2023/11/05,11:59pm,N/A,10,4,2023/11/13,0,0,0,1
Assignment 3,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Individual,Assignment,10,2023/11/1,2023/11/24,11:59pm,N/A,10,4,2023/11/13,11,0,0,4
Group Contract,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Document,0,-,2023/10/16,6:00pm,N/A,1,1,2023/11/13,0,0,0,1
Project Part I: Literature Review,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Essay,5,-,2023/10/20,11:59pm,N/A,5,2,2023/11/13,0,0,0,1
Project Part II Case Study,McMaster Univeristy,5th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A04,3,Group,Essay,5,2023/11/13,2023/11/17,11:59pm,N/A,5,2,2023/11/13,4,0,0,5
Assignment 1,McMaster Univeristy,5th year,Linear Optimization,COMPSCI 4O03,3,Individual,Assignment,10,2021/10/1,2021/10/9,11:59pm,N/A,8,4,2021/10/4,5,20,1,4
Assignment 2,McMaster Univeristy,5th year,Linear Optimization,COMPSCI 4O04,3,Individual,Assignment,10,2021/10/24,2021/11/06,11:59pm,N/A,8,3,2021/11/2,4,50,2.5,3
Assignment 3,McMaster Univeristy,5th year,Linear Optimization,COMPSCI 4O05,3,Individual,Assignment,10,-,2021/12/06,11:59pm,N/A,8,4,2021/11/13,23,0,0,2
Assignment 1,McMaster Univeristy,5th year,Communication Skills,COMPSCI 3I03,3,Individual,Assignment,10,-,2021/10/24,11:59pm,N/A,5,4,2021/10/22,2,80,3,3
Peer Evaluation,McMaster Univeristy,5th year,Communication Skills,COMPSCI 3I04,3,Individual,Survey,0,-,2021/12/07,11:59pm,"yes, relies on previous work",1,1,2021/12/04,3,40,0.5,4
Recorded Presentation,McMaster Univeristy,5th year,Communication Skills,COMPSCI 3I05,3,Individual,Presentation,10,-,2021/11/12,11:59pm,N/A,10,3,2021/10/31,12,0,0,2
Assignment 2,McMaster Univeristy,5th year,Communication Skills,COMPSCI 3I06,3,Individual,Assignment,10,-,2021/11/30,11:59pm,N/A,5,3,2021/11/30,0,90,5,5
Final Report,McMaster Univeristy,5th year,Communication Skills,COMPSCI 3I07,3,Individual,Report,10,-,2021/12/15,11:59pm,N/A,10,5,2021/12/2,13,50,4,2
Midterm 1,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Exam,10,-,2022/10/06,11:59pm,N/A,1.5,4,2022/10/05,2,0,0,5
Project 1,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,25,-,2022/10/21,11:59pm,N/A,8,4,2022/10/20,1,0,0,1
Midterm2,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Midtwem,10,-,2022/11/25,11:59pm,N/A,1.5,4,2022/11/21,4,40,2,3
Project 2,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,35,-,2022/11/25,11:59pm,N/A,6,4,2022/11/25,0,90,3,5
Project Proposal,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,0,-,2022/11/4,11:59pm,N/A,4,3,2022/11/1,3,60,2.5,4
Final Project,McMaster Univeristy,5th year,MATERIALS IN DESIGN AND MANUFACTURING,MATLS 4MS4,4,Individual,Project,25,-,2022/12/16,11:59pm,depends on project proposal,20,5,2022/12/14,2,90,20,5
Assignment ,McMaster Univeristy,4th year,Robotics,MECHENG 4K03,3,Individual,Assignment,10,-,2023/11/18,11:59pm,N/A,3.5,4,2023/11/13,5,0,0,1
Midterm,McMaster Univeristy,4th year,Robotics,MECHENG 4K03,3,Individual,Exam,10,-,2023/10/18,11:59pm,N/A,1,3,2023/11/13,0,0,0,1
Midterm,McMaster Univeristy,4th year,Robotics,MECHENG 4K03,3,Individual,Exam,10,-,2023/11/7,11:59pm,N/A,1,3,2023/11/13,0,0,0,1
Midterm,McMaster Univeristy,4th year,Robotics,MECHENG 4K03,3,Individual,Exam,10,-,2023/11/14,11:59pm,N/A,1,2,2023/11/13,1,0,0,5
Final Exam,McMaster Univeristy,4th year,Robotics,MECHENG 4K03,3,Individual,Exam,60,-,2023/12/20,11:59pm,N/A,2.5,5,2023/11/13,18,0,0,3
Assignment 1,McMaster Univeristy,5th year,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/9/22,11:30am,N/A,0,3,2023/11/13,4,100,12,1
Assignment 2,McMaster Univeristy,5th year,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/10/6,11:30am,N/A,0,3,2023/11/13,4,100,13,1
Assignment 3,McMaster Univeristy,5th year,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/11/26,11:30am,N/A,0,3,2023/11/13,0,100,20,1
Assignment 4,McMaster Univeristy,5th year,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/11/16,11:30am,N/A,12,3,2023/11/13,4,90,1,5
Assignment 5,McMaster Univeristy,5th year,Predictive and Intelligent Control,MECHTRON 4AX3,3,Individual,Assignment,4,-,2023/11/30,11:30am,N/A,15,3,2023/11/13,17,0,0,1
Midterm 3,McMaster Univeristy,5th year,Robotics,MECHENG 4K03,3,Individual,Midterm,10,-,2023/11/14,13:30pm,N/A,3,5,2023/11/13,1,90,5,5
Assignment 1,McMaster Univeristy,5th year,Database,SFWRENG 3DB3 ,3,Individual,Assignment,12,-,2023/10/2,10:00pm,N/A,0,4,2023/11/13,0,100,16,2
Assignment 2,McMaster Univeristy,5th year,Database,SFWRENG 3DB3 ,3,Individual,Assignment,13,-,2023/11/10,10:00pm,N/A,0,4,2023/11/13,0,100,16,2
Assignment 3,McMaster Univeristy,5th year,Database,SFWRENG 3DB3 ,3,Individual,Assignment,14,-,2023/12/01,10:00pm,N/A,16,3,2023/11/13,18,0,0,3
Lab 9,McMaster Univeristy,5th year,Real-Time System and Control Applications,MECHTRON 4AA4,4,Individual,Lab,4,-,2023/11/17,17:30pm,N/A,3,5,2023/11/13,4,0,0,2
Lab 6 ,McMaster University,4th year,Digital Signal Processing,COMP ENG 4TL4,4,Individual,Lab,5,-,2023/11/16,17:20pm,N/A,2.5,4,2023/11/13,3,20,0.2,3
Lab 3,McMaster University,4th year,Computer Architecture,COMP ENG 4DM4,4,Group,Lab,5,-,2023/11/14,11:20am,depends on Lab2,3,4,2023/11/13,1,0,0,5
Lab4,McMaster University,4th year,Computer Architecture,COMP ENG 4DM5,4,Group,Lab,5,-,2023/11/21,11:20am,depends on Lab3,3,4,2023/11/13,7,0,0,1
Lab4,McMaster University,1st year,Introductory Physics,PHYSICS 1A03,3,Individual,Lab,5,-,2023/11/14,14:20pm,depends on Lab 3,1.5,4,2023/11/13,1,0,0,5
LON-CAPA Assignment 6,McMaster University,1st year,Introductory Physics,PHYSICS 1A04,3,Individual,Assignment,8,-,2023/11/17,11:59pm,N/A,3,2,2023/11/13,4,30,3.5,4
Lab 5,McMaster University,1st year,Introductory Physics,PHYSICS 1A05,3,Individual,Lab,5,-,2023/11/21,10:00am,depends on Lab4,1.5,3,2023/11/13,7,0,0,3
LON-CAPA Assignment 7,McMaster University,1st year,Introductory Physics,PHYSICS 1A06,3,Individual,Assignment,8,-,2023/11/24,11:59pm,N/A,3,2,2023/11/13,11,0,0,2
Lab6,McMaster University,1st year,Introductory Physics,PHYSICS 1A07,3,Individual,Lab,5,-,2023/11/28,10:00am,depends on Lab 5,1.5,4,2023/11/13,15,0,0,1
Midterm 2,McMaster University,1st year,Introductory Physics,PHYSICS 1A07,3,Individual,Exam,15,-,2023/11/08,10:30am,N/A,1.5,5,2023/11/13,0,0,0,1
Assignment 3,McMaster University,4th year,Smart Systems,MECH ENG 4SS3,3,Individual,Assignment,10,-,2023/11/20,11:59pm,N/A,4,4,2023/11/13,7,40,2.5,4
Assignment 4,McMaster University,4th year,Smart Systems,MECH ENG 4SS3,3,Individual,Assignment,10,-,2023/11/27,11:59pm,N/A,4,3,2023/11/13,14,10,0.5,2
Resume Workshop,McMaster University,4th year,Smart Systems,MECH ENG 4SS4,3,Individual,Assignment,5,-,-,-,N/A,1.5,1,2023/11/13,0,0,0,3
Midterm test,McMaster University,5th year,Robotics,MECH ENG 4K03,3,Individual,Exam,10,2023-11-01,2023-11-14,14:30pm,"yes, midterm 2",0.7,4,2023/11/13,0,0,5,3
Lab4,McMaster University,5th year,Computer Architecture,COMPENG 4DM4,4,Group,Lab,7,2023-11-06,2023-11-21,11:59pm,"yes, relies on lab2",8,5,2023/11/13,8,10,0.5,2
Assignment 4,McMaster University,4th year,Predictive and intelligence control,MECHTRON 4AX3,3,Individual,Assignment,4,2023/11/9,2023/11/16,11:59pm,no,2,4,2023/11/13,3,0,0,4
Midterm 3,McMaster University,4th year,Robotics,MECH ENG 4K03,3,Individual,Exam,10,2023/11/14,2023/11/14,2:30pm,no,1,5,2023/11/13,1,0,0,5
